epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0212,2.93425,7.95509,2.40037,0.00339,0.22222,0.00335,0.00077,2.7583,10.0795,2.51287,0,0,0
2,20.0322,2.48407,10.6893,2.19935,0.00402,0.22222,0.0037,0.00089,2.72582,10.4012,2.48284,1.9901e-05,1.9901e-05,1.9901e-05
3,30.0152,3.43903,7.77821,2.73061,0.00732,0.22222,0.00384,0.00083,2.7415,10.2999,2.50033,3.9604e-05,3.9604e-05,3.9604e-05
4,40.0266,3.41967,9.02609,2.61752,0.00861,0.22222,0.00391,0.00084,2.728,10.2976,2.50337,5.9109e-05,5.9109e-05,5.9109e-05
5,50.0316,2.9375,8.53488,2.62358,0.00482,0.22222,0.00414,0.00083,2.68189,10.3222,2.48071,7.8416e-05,7.8416e-05,7.8416e-05
6,60.1072,2.66815,6.57655,2.3521,0.00328,0.33333,0.00357,0.00075,2.65568,10.3328,2.45049,9.7525e-05,9.7525e-05,9.7525e-05
7,70.0235,2.37528,8.20627,2.04105,0.00349,0.33333,0.00359,0.00097,2.64268,10.3451,2.46962,0.000116436,0.000116436,0.000116436
8,80.1031,3.57216,8.84274,2.9171,0.00292,0.33333,0.0018,0.00065,2.46434,12.6417,2.44631,0.000135149,0.000135149,0.000135149
9,90.2064,3.36335,6.00228,2.58472,0.00083,0.11111,0.0001,3e-05,2.70041,17.5641,2.5546,0.000153664,0.000153664,0.000153664
10,100.156,2.92601,8.04001,2.47691,0.00083,0.11111,0.0001,3e-05,2.6683,16.4045,2.5684,0.000171981,0.000171981,0.000171981
11,110.145,2.91662,5.99606,2.27007,0.00259,0.33333,0.00153,0.00029,2.77888,16.2787,2.47975,0.0001901,0.0001901,0.0001901
12,120.182,3.12422,3.96546,2.37415,0,0,0,0,2.83534,48.6843,2.44371,0.000208021,0.000208021,0.000208021
13,130.298,2.74357,4.16449,2.12813,0,0,0,0,3.00381,156.739,2.51809,0.000225744,0.000225744,0.000225744
14,140.271,2.79808,5.07936,2.24357,0,0,0,0,3.08663,147.867,2.71818,0.000243269,0.000243269,0.000243269
15,150.173,2.72693,4.62678,2.18973,0.0009,0.11111,0.00011,5e-05,3.2839,46.647,2.89043,0.000260596,0.000260596,0.000260596
16,160.201,2.92628,3.84488,2.08037,0.00167,0.22222,0.00045,0.00022,3.11726,34.607,2.84335,0.000277725,0.000277725,0.000277725
17,160.844,2.53279,3.54905,1.90204,0.00333,0.44444,0.00173,0.00031,3.14307,24.193,2.80037,0.000294656,0.000294656,0.000294656
18,161.454,3.07198,4.2787,2.12319,0.00271,0.11111,0.00071,0.00018,2.99518,25.5009,2.84298,0.000311389,0.000311389,0.000311389
19,162.056,2.39732,3.34883,1.61213,0.00417,0.55556,0.0033,0.00058,3.22235,9.54313,3.17223,0.000327924,0.000327924,0.000327924
20,162.63,2.56434,3.89833,1.90581,0.00351,0.44444,0.00225,0.00036,3.3545,6.61637,3.1841,0.000344261,0.000344261,0.000344261
21,163.217,2.09278,3.12021,1.61699,0.00944,0.11111,0.00287,0.00067,3.50135,5.87867,3.27313,0.0003604,0.0003604,0.0003604
22,163.812,2.5356,3.90591,1.98007,0.00828,0.11111,0.00293,0.00072,3.35989,6.36746,3.30029,0.000376341,0.000376341,0.000376341
23,164.414,2.30661,2.69311,1.70354,0.00363,0.11111,0.0021,0.00035,3.38608,8.73721,3.51996,0.000392084,0.000392084,0.000392084
24,165.03,2.30568,2.86922,1.92123,0.00446,0.11111,0.00145,0.00015,3.3195,10.6069,3.26513,0.000407629,0.000407629,0.000407629
25,165.666,2.15704,2.94691,1.69184,0.09644,0.11111,0.01766,0.00181,3.28869,9.31827,2.97392,0.000422976,0.000422976,0.000422976
26,166.316,2.01515,2.71945,1.78888,0.05505,0.11111,0.00904,0.00154,3.19025,7.56177,2.90626,0.000438125,0.000438125,0.000438125
27,166.94,2.12725,2.69918,1.638,0.01693,0.11111,0.00453,0.00088,3.15279,12.1799,3.00464,0.000453076,0.000453076,0.000453076
28,167.614,1.95248,2.47954,1.69931,0.25879,0.11111,0.04068,0.00428,3.23097,7.14515,2.97066,0.000467829,0.000467829,0.000467829
29,168.224,1.74626,2.35026,1.56319,0.62336,0.11111,0.11564,0.02337,3.38528,8.19248,3.19738,0.000482384,0.000482384,0.000482384
30,168.899,2.20893,2.41424,1.99682,0.73563,0.11111,0.115,0.02304,3.68507,8.2219,3.37294,0.000496741,0.000496741,0.000496741
31,169.561,2.11281,2.60148,1.78899,0.73856,0.11111,0.11557,0.01225,3.7378,8.52571,3.37035,0.0005109,0.0005109,0.0005109
32,170.141,2.10768,2.469,2.04138,0.72029,0.11111,0.115,0.01166,3.6407,9.53077,3.17859,0.000524861,0.000524861,0.000524861
33,170.7,2.19443,2.59843,1.71567,0.0025,0.33333,0.00084,0.00016,3.71549,17.925,3.0938,0.000538624,0.000538624,0.000538624
34,171.304,2.2733,2.9356,2.01312,0.00136,0.11111,0.00024,7e-05,3.38164,13.7527,3.14081,0.000552189,0.000552189,0.000552189
35,171.893,2.09825,2.12428,1.64961,0.0025,0.33333,0.00166,0.00041,3.16613,8.47282,3.04131,0.000565556,0.000565556,0.000565556
36,172.495,2.05456,2.22214,1.61846,0.0057,0.55556,0.00406,0.00075,3.2508,8.28132,3.15315,0.000578725,0.000578725,0.000578725
37,173.118,1.94757,1.80808,1.49536,0.00417,0.55556,0.00289,0.00068,3.31555,5.99572,3.12261,0.000591696,0.000591696,0.000591696
38,173.721,1.85329,2.6483,1.71268,0.78364,0.11111,0.11704,0.01188,3.10236,5.63299,3.00127,0.000604469,0.000604469,0.000604469
39,174.384,1.87581,2.51046,1.83269,0.70028,0.11111,0.11598,0.01175,3.16413,6.91759,3.08109,0.000617044,0.000617044,0.000617044
40,174.991,1.99788,2.18283,1.86752,0.15537,0.11111,0.02875,0.00287,2.93716,10.8211,2.98424,0.000629421,0.000629421,0.000629421
41,175.605,1.96553,2.06231,1.9156,0.07878,0.11111,0.01437,0.00144,2.86483,11.7702,2.87829,0.0006416,0.0006416,0.0006416
42,176.211,1.55601,1.73852,1.34771,0.06308,0.11111,0.00931,0.00093,3.08216,8.97445,3.04204,0.000653581,0.000653581,0.000653581
43,176.876,1.85941,2.00667,1.38006,0.30309,0.11111,0.0411,0.00424,3.32067,5.62515,3.49181,0.000665364,0.000665364,0.000665364
44,177.476,1.81361,2.26261,1.58107,0.01064,0.11111,0.00419,0.00057,2.94828,6.2705,3.15062,0.000676949,0.000676949,0.000676949
45,178.121,1.95316,1.94036,1.60046,0.00097,0.11111,0.00072,0.00016,3.1928,6.59345,3.55535,0.000688336,0.000688336,0.000688336
46,178.713,1.93705,2.33798,1.85078,0.00083,0.11111,0.00014,1e-05,3.40924,6.44038,3.65627,0.000699525,0.000699525,0.000699525
47,179.317,1.54427,2.62878,1.16421,0.00083,0.11111,0.00025,3e-05,3.39876,5.34892,3.50339,0.000710516,0.000710516,0.000710516
48,179.949,1.71506,2.06558,1.2992,0.00645,0.11111,0.00261,0.00046,3.23547,6.32817,3.17861,0.000721309,0.000721309,0.000721309
49,180.585,1.71069,2.03687,1.55289,0.09739,0.11111,0.01675,0.00511,3.06762,7.684,3.11538,0.000731904,0.000731904,0.000731904
50,181.197,1.95113,1.81019,1.50237,0.04941,0.11111,0.00885,0.00265,3.14472,13.6933,3.35081,0.000742301,0.000742301,0.000742301
51,181.832,1.64069,1.74345,1.32065,0.04941,0.11111,0.00885,0.00265,3.14472,13.6933,3.35081,0.0007525,0.0007525,0.0007525
52,182.475,1.52427,1.57296,1.42954,0.14867,0.11111,0.03853,0.01152,3.29566,14.465,3.52294,0.000762501,0.000762501,0.000762501
53,183.132,1.65494,1.56858,1.32607,0.14867,0.11111,0.03853,0.01152,3.29566,14.465,3.52294,0.000772304,0.000772304,0.000772304
54,183.711,1.69043,1.77101,1.3714,0.10349,0.11111,0.01663,0.00495,3.24008,8.45161,3.55733,0.000781909,0.000781909,0.000781909
55,184.281,2.00117,1.90135,1.64856,0.10349,0.11111,0.01663,0.00495,3.24008,8.45161,3.55733,0.000791316,0.000791316,0.000791316
